"","id","agencyID","Name.en","Name.lt","Description.en","Description.lt","version","uri","urn","isExternalReference","isFinal","validFrom","validTo","dsdRef"
"1","S1R003_M8020420","LSD","S1R003 - Dwellings with centralised hot water supply from city/town (district) heating networks","S1R003 - Bustai, aprupinti karštu vandeniu centralizuotai iš miesto (rajono) šilumos tinklu","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R003_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"2","S1R003_M8020421","LSD","S1R003 - Dwellings with centralised hot water supply from city/town (district) heating networks","S1R003 - Bustai, aprupinti karštu vandeniu centralizuotai iš miesto (rajono) šilumos tinklu","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R003_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"3","S1R004_M8020420","LSD","S1R004 - Dwellings with centralised hot water supply from a local boiler house","S1R004 - Bustai, aprupinti karštu vandeniu centralizuotai iš vietines katilines","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R004_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"4","S1R005_M8020420","LSD","S1R005 - Dwellings with hot water supply from heating system boilers with a hot water heater","S1R005 - Bustai, aprupinti karštu vandeniu iš šildymo sistemos katilu su karšto vandens šildytuvu","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R005_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"5","S1R005_M8020421","LSD","S1R005 - Dwellings with hot water supply from heating system boilers with a hot water heater","S1R005 - Bustai, aprupinti karštu vandeniu iš šildymo sistemos katilu su karšto vandens šildytuvu","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R005_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"6","S1R006_M8020420","LSD","S1R006 - Dwellings with individual hot water supply","S1R006 - Bustai, apsirupinantys karštu vandeniu individualiai","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R006_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"7","S1R006_M8020421","LSD","S1R006 - Dwellings with individual hot water supply","S1R006 - Bustai, apsirupinantys karštu vandeniu individualiai","Fuel and energy (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R006_M8020421(1.0)",FALSE,FALSE,NA,NA,"M8020421"
"8","S1R007_M8020420","LSD","S1R007 - Dwellings with no hot water supply","S1R007 - Bustai, kuriems neteikiamas karštas vanduo","Place of residence (2009 - 2009) (Not be renewed)","Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R007_M8020420(1.0)",FALSE,FALSE,NA,NA,"M8020420"
"9","S1R008_M8020416","LSD","S1R008 - Availability of electrical appliances in dwellings","S1R008 - Bustu apsirupinimas elektros prietaisais","Electrical appliance | Place of residence (2009 - 2009) (Not be renewed)","Elektros prietaisas | Gyvenamoji vietove (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R008_M8020416(1.0)",FALSE,FALSE,NA,NA,"M8020416"
"10","S1R009_M8020419","LSD","S1R009 - Heating of dwellings","S1R009 - Bustu apšildymas","Fuel and energy | Type of supply (2009 - 2009) (Not be renewed)","Kuro ir energijos rušis | Teikimo budas (2009 - 2009) (Neatnaujinamas)","1.0",NA,"urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=LSD:S1R009_M8020419(1.0)",FALSE,FALSE,NA,NA,"M8020419"
